,date,deposit_type,rate
357,2002-02-21,活期存款(不定期),0.72
358,2002-02-21,零存整取、整存零取、存本取息定期存款(三年),--
359,2002-02-21,零存整取、整存零取、存本取息定期存款(五年),--
360,2002-02-21,零存整取、整存零取、存本取息定期存款(一年),--
361,2002-02-21,通知存款(七天),1.62
362,2002-02-21,通知存款(一天),1.08
363,2002-02-21,协定存款(定期),1.44
364,1999-06-10,定活两便(定期),--
365,1999-06-10,定期存款整存整取(半年),2.16
366,1999-06-10,定期存款整存整取(二年),2.43
367,1999-06-10,定期存款整存整取(三个月),1.98
368,1999-06-10,定期存款整存整取(三年),2.70
369,1999-06-10,定期存款整存整取(五年),2.88
370,1999-06-10,定期存款整存整取(一年),2.25
371,1999-06-10,活期存款(不定期),0.99
372,1999-06-10,零存整取、整存零取、存本取息定期存款(三年),--
373,1999-06-10,零存整取、整存零取、存本取息定期存款(五年),--
374,1999-06-10,零存整取、整存零取、存本取息定期存款(一年),--
375,1999-06-10,通知存款(七天),1.89
376,1999-06-10,通知存款(一天),1.35
377,1999-06-10,协定存款(定期),1.71
378,1998-12-07,定活两便(定期),--
379,1998-12-07,定期存款整存整取(半年),3.30
380,1998-12-07,定期存款整存整取(二年),3.96
381,1998-12-07,定期存款整存整取(三个月),2.79
382,1998-12-07,定期存款整存整取(三年),4.14
383,1998-12-07,定期存款整存整取(五年),4.50
384,1998-12-07,定期存款整存整取(一年),3.78
385,1998-12-07,活期存款(不定期),1.44
386,1998-12-07,零存整取、整存零取、存本取息定期存款(三年),--
387,1998-12-07,零存整取、整存零取、存本取息定期存款(五年),--
388,1998-12-07,零存整取、整存零取、存本取息定期存款(一年),--
389,1998-12-07,通知存款(七天),2.34
390,1998-12-07,通知存款(一天),1.80
391,1998-12-07,协定存款(定期),2.16
392,1998-07-01,定活两便(定期),--
393,1998-07-01,定期存款整存整取(半年),3.96
394,1998-07-01,定期存款整存整取(二年),4.86
395,1998-07-01,定期存款整存整取(三个月),2.79
396,1998-07-01,定期存款整存整取(三年),4.95
397,1998-07-01,定期存款整存整取(五年),5.22
398,1998-07-01,定期存款整存整取(一年),4.77
399,1998-07-01,活期存款(不定期),1.44
400,1998-07-01,零存整取、整存零取、存本取息定期存款(三年),--
401,1998-07-01,零存整取、整存零取、存本取息定期存款(五年),--
402,1998-07-01,零存整取、整存零取、存本取息定期存款(一年),--
403,1998-07-01,通知存款(七天),--
404,1998-07-01,通知存款(一天),--
405,1998-07-01,协定存款(定期),--
406,1998-03-25,定活两便(定期),--
407,1998-03-25,定期存款整存整取(半年),4.14
408,1998-03-25,定期存款整存整取(二年),5.58
409,1998-03-25,定期存款整存整取(三个月),2.88
410,1998-03-25,定期存款整存整取(三年),6.21
411,1998-03-25,定期存款整存整取(五年),6.66
412,1998-03-25,定期存款整存整取(一年),5.22
413,1998-03-25,活期存款(不定期),1.71
414,1998-03-25,零存整取、整存零取、存本取息定期存款(三年),--
415,1998-03-25,零存整取、整存零取、存本取息定期存款(五年),--
416,1998-03-25,零存整取、整存零取、存本取息定期存款(一年),--
417,1998-03-25,通知存款(七天),--
418,1998-03-25,通知存款(一天),--
419,1998-03-25,协定存款(定期),--
420,1997-10-23,定活两便(定期),--
421,1997-10-23,定期存款整存整取(半年),4.14
422,1997-10-23,定期存款整存整取(二年),5.94
423,1997-10-23,定期存款整存整取(三个月),2.88
424,1997-10-23,定期存款整存整取(三年),6.21
