code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders,peg
600460,士兰微,半导体,浙江,72.83,12.47,12.47,550102.69,245912.3,164819.13,17097.6,0.14,0.068,2.04,4.84,20030311,96958.61,0.78,22.9,243.77,27.84,6.5,77909.0,3.18034934498
002822,中装建设,装修装饰,深圳,51.84,1.5,6.0,376430.72,354195.53,12017.07,66066.03,1.1,0.111,3.24,3.55,20161129,60673.18,1.01,16.28,5.18,15.45,5.04,51995.0,3.18427518428
002725,跃岭股份,汽车配件,浙江,77.53,0.68,1.6,104214.86,47317.35,39141.71,39317.05,2.46,0.114,5.7,3.1,20140129,30786.15,1.92,24.29,-36.11,19.99,5.03,16963.0,3.19184849732
600605,汇通能源,商贸代理,上海,103.98,1.47,1.47,121840.11,52949.43,54110.8,17890.89,1.21,0.076,3.94,4.03,19920327,17393.25,1.18,32.54,-21.53,3.59,0.93,12060.0,3.19545175169
002539,云图控股,农药化肥,四川,55.07,4.59,10.1,928165.88,372073.91,376942.06,113637.7,1.13,0.073,3.0,2.66,20110118,80325.05,0.8,17.14,-33.29,16.53,1.97,45793.0,3.21295215869
002196,方正电机,纺织机械,浙江,50.66,2.53,4.51,299339.19,114814.72,47336.09,169776.73,3.77,0.126,5.33,2.4,20071212,25696.45,0.57,15.75,15.93,23.73,10.46,29038.0,3.21650793651
002603,以岭药业,中成药,河北,29.17,9.12,12.05,797373.81,420535.56,270892.84,293543.59,2.44,0.282,5.68,2.89,20110728,249755.8,2.07,9.06,12.17,68.07,15.11,44856.0,3.21964679912
000685,中山公用,水务,广东,15.31,10.71,14.75,1636949.88,302132.94,152581.05,206037.06,1.4,0.357,7.88,1.39,19970123,647395.19,4.39,4.75,12.31,32.02,75.52,51712.0,3.22315789474
002175,东方网络,电器仪表,广西,81.29,5.3,7.54,291286.34,119059.32,11468.99,52518.11,0.7,0.068,1.79,6.15,20071012,4711.43,0.06,25.21,131.01,44.18,16.29,68773.0,3.22451408171
300484,蓝海华腾,电气设备,深圳,46.54,0.94,2.08,96172.75,83237.96,3876.43,8232.95,0.4,0.341,3.12,10.16,20160322,32361.55,1.56,14.39,4.74,40.34,24.07,14149.0,3.23419041001
603677,奇精机械,机械基件,浙江,46.52,0.34,1.4,127298.92,90658.93,23971.84,47283.32,3.37,0.55,6.33,4.92,20170206,22573.4,1.61,14.36,10.65,20.31,7.54,8568.0,3.23955431755
000807,云铝股份,铝,云南,137.42,17.22,26.07,3208950.0,900938.19,1707955.25,641829.19,2.46,0.056,3.6,4.3,19980408,756.37,0.0,42.22,187.7,11.0,1.45,102216.0,3.25485551871
603266,天龙股份,塑料,浙江,34.8,0.25,1.0,93363.22,66729.93,18343.22,33815.94,3.38,0.48,7.73,4.11,20170110,31290.11,3.13,10.69,19.09,28.09,11.14,8686.0,3.25537885875
300025,华星创业,通信设备,浙江,64.71,3.39,4.29,303960.75,208094.09,9263.41,2671.95,0.06,0.06,2.1,3.71,20091030,43599.76,1.02,19.8,-7.29,28.9,4.12,25434.0,3.26818181818
002419,天虹股份,百货,深圳,16.8,8.0,8.0,1387079.63,850632.81,205724.59,170919.16,2.14,0.468,7.1,2.22,20100601,276693.69,3.46,5.14,31.36,25.3,4.17,20274.0,3.26848249027
300114,中航电测,元器件,陕西,52.16,4.56,5.91,206066.63,138555.73,44689.85,19477.76,0.33,0.12,2.35,5.32,20100827,45842.18,0.78,15.88,15.67,35.91,12.1,13596.0,3.28463476071
002821,凯莱英,生物制药,天津,56.7,0.46,2.3,243588.0,158414.48,62321.18,102873.65,4.47,0.55,7.97,7.71,20161118,69934.97,3.04,17.22,40.19,51.88,22.63,16176.0,3.29268292683
002261,拓维信息,互联网,湖南,40.67,9.29,11.11,432034.66,130498.36,20962.7,193036.06,1.74,0.117,3.52,2.7,20080723,83611.99,0.75,12.31,0.52,63.92,23.58,54754.0,3.30381803412
002651,利君股份,专用机械,四川,78.38,3.78,10.03,243582.59,178568.16,21235.64,33509.53,0.33,0.059,1.91,4.82,20120106,34599.4,0.35,23.66,24.46,41.71,21.65,58509.0,3.31276415892
600894,广日股份,运输设备,广东,19.93,8.6,8.6,886140.63,392025.22,126477.95,244316.72,2.84,0.29,7.79,1.49,19960328,301722.63,3.51,6.01,-24.48,19.81,11.59,34965.0,3.31613976705
000408,藏格控股,农药化肥,青海,62.84,3.13,20.72,701519.81,297114.69,311438.94,100057.0,0.48,0.152,3.01,6.35,19960628,277881.09,1.34,18.92,23.33,70.24,29.14,21224.0,3.32135306554
300166,东方国信,软件服务,北京,72.93,8.06,10.5,464694.41,275489.81,22237.64,210379.02,2.0,0.099,3.84,3.75,20110125,92375.53,0.88,21.86,49.6,45.92,18.94,34999.0,3.3362305581
002121,科陆电子,电器仪表,深圳,53.78,7.04,14.08,1472471.25,799208.56,339180.31,196989.11,1.4,0.1,3.24,3.18,20070306,108896.7,0.77,16.04,83.3,37.82,8.84,78573.0,3.35286783042
002298,中电鑫龙,软件服务,安徽,48.48,4.4,7.04,571513.81,326903.25,70805.55,290271.03,4.12,0.116,6.02,1.86,20090929,58621.07,0.83,14.43,11.66,32.49,10.54,53092.0,3.35966735967
002681,奋达科技,家用电器,深圳,71.58,6.13,14.13,417946.88,183743.34,63401.46,61029.2,0.43,0.1,2.35,5.6,20120605,106049.61,0.75,21.29,5.61,28.59,14.26,50000.0,3.36214185063
002125,湘潭电化,化工原料,湖南,102.44,2.23,3.46,222804.47,66163.9,100253.32,69002.52,2.0,0.064,3.11,4.19,20070403,2352.73,0.07,30.38,299.21,25.55,6.46,26997.0,3.37195523371
